Disease,Symptoms
Malaria,fatigue;back pain;nausea;vomiting;poor concentration;headache;fever;night sweats;ear pressure;anemia;low oxygen levels
Diabetes,sweet-smelling breath;vision changes;skin infections;tingling hands;frequent urination;fatigue;vomiting;fever
Hypertension,chest pain;trouble sleeping;lightheadedness;dizziness;swelling in feet;throbbing head pain;nosebleed
Urinary Tract Infection (UTI),dizziness;lower back pain;blood in urine;lightheadedness;confusion (elderly);pain during intercourse;nasal congestion;urine leakage;chills;rapid breathing
Bronchitis,rapid breathing;dizziness;throat irritation;runny nose;rash;postnasal drip;body aches;headache;chills
Diabetes,breathlessness;skin infections;vision changes;dark skin patches;increased thirst;tingling hands;fatigue;fever
Anemia,fast heartbeat;lightheadedness;pale gums;cold hands;dizziness;brittle nails;irritability;bleeding gums;forehead pain;coughing blood;craving ice;nausea
Hypertension,throbbing headache;lightheadedness;anxiety;facial flushing;fatigue;throbbing head pain
Urinary Tract Infection (UTI),pain during intercourse;blurred vision;nausea;blood in urine;pressure in bladder;strong-smelling urine;vomiting;pelvic pain
Migraine,one-sided headache;eye pain;neck pain;fatigue;mood changes;irritability;sensitivity to smell;pale lips;sensitivity to sound;aura
Sinusitis,fatigue;loss of smell;facial pain;forehead pain;hoarseness;insomnia;sinus pressure;back pain;isolation
Gastroenteritis,urine urgency;diarrhea;vomiting;silent chest;watery eyes;dry mouth;nausea;weakness;abdominal cramps;stomach rumbling
Hypertension,dizziness;sweating;nosebleed;production of mucus;headache;strong-smelling urine;vision changes;throbbing head pain;anxiety;lightheadedness
Urinary Tract Infection (UTI),chills;incomplete emptying;fever;strong-smelling urine;weakness;confusion (elderly)
Malaria,temperature fluctuations;urine urgency;abdominal pain;gas;sweating;vomiting;sensitivity to sound;fatigue;night sweats;confusion;body aches
Diabetes,dark skin patches;tingling hands;hunger;blurred vision;skin infections;dry mouth;increased thirst;weight loss;vision changes
Hypertension,shortness of breath;headache;lightheadedness;pulsating pain;confusion;fatigue;irregular heartbeat;flatulence
Depression,buzzing in ears;feelings of worthlessness;chronic pain;restlessness;persistent sadness;dehydration;fatigue;tearfulness;tooth pain
Asthma,anxiety;triggered by cold air;mood changes;pale lips;chest tightness;facial swelling;persistent cough;loss of taste;nausea
Bronchitis,postnasal drip;chest discomfort;temperature fluctuations;persistent cough;sore throat;dry cough;back pain;headache;fast heartbeat;muscle soreness;fatigue
Asthma,blue fingernails;mucus production;silent chest;sensitivity to sound;chest discomfort;difficulty exhaling;fatigue;low oxygen levels;persistent cough
Malaria,blood in urine;muscle pain;fatigue;vomiting;anemia;loss of appetite;abdominal pain;back pain;nausea;rapid heartbeat
Urinary Tract Infection (UTI),tooth pain;fever;frequent urination;confusion (elderly);urine urgency;pressure in bladder;nausea;urine leakage;fatigue
Urinary Tract Infection (UTI),frequent urination;unintended weight loss;hopelessness;chills;vomiting;confusion (elderly);lower abdominal pain;hoarseness
Gastritis,loss of appetite;fatigue;upper stomach pain;black stool;muscle aches;poor concentration;hiccups;sour taste;blurred thinking;bloating;burning after eating;belching
Gastritis,indigestion;acid reflux;upper stomach pain;bloating;belching;fullness;burning after eating;sensitivity to light;gastric discomfort
Asthma,unintended weight loss;tight throat;fever;rapid breathing;anxiety;memory issues;nausea;triggered by cold air;low oxygen levels;fast heartbeat
Gastritis,fever;flatulence;burning after eating;headache;hiccups;abdominal pain;insomnia;bloating;upper stomach pain;numbness;throat irritation
Depression,low energy;memory issues;hopelessness;slowed thinking;feelings of worthlessness;indigestion;loss of interest
Urinary Tract Infection (UTI),frequent urination;urine leakage;pressure in bladder;fatigue;facial flushing;strong-smelling urine;nausea;abdominal cramps
Urinary Tract Infection (UTI),facial swelling;lower abdominal pain;fever;nausea;urine urgency;lower back pain;pelvic pain;urine leakage;confusion (elderly)
Tuberculosis,pale skin;heartburn;chills;headache;weakness;difficulty sleeping;fatigue;back pain;dry cough;swollen glands;shoulder pain;fever
Malaria,body aches;fever;headache;low blood pressure;jaw pain;rapid heartbeat;dizziness
Diabetes,sweet-smelling breath;increased thirst;dry cough;blurred thinking;fever;headache;tingling feet
Depression,restlessness;loss of appetite;guilt;tearfulness;persistent sadness;swelling in feet;fatigue;low energy;sleep disturbances
Dengue,dizziness;nausea;abdominal pain;diarrhea;red eyes;bloating;swollen glands;high blood pressure;dehydration
Gastritis,abdominal pain;flatulence;upper stomach pain;bloating;belching;black stool;weakness;fullness
Malaria,neck pain;vomiting;shivering;muscle pain;confusion;fast heartbeat
Bronchitis,headache;sensitivity to light;fatigue;chills;hoarseness;shortness of breath;sore throat;tight chest;memory issues;runny nose
Anemia,pale gums;fatigue;low platelet count;dizziness;headache;cold hands;fast heartbeat;brittle nails;tight throat;tooth pain
Bronchitis,sinus pressure;throat irritation;nasal congestion;fever;swollen glands;hoarseness;headache;tight chest;buzzing in ears;rapid breathing
Hypertension,sensitivity to sound;headache;shortness of breath;productive cough;restlessness;coughing at night;irregular heartbeat
Migraine,throbbing headache;blurred vision;dizziness;one-sided headache;sensitivity to sound;urgent bowel movements;vomiting
Sinusitis,pale skin;hoarseness;blue fingernails;facial swelling;headache;fatigue;jaw pain;nasal congestion
Anemia,restless legs;easy bruising;fever;fatigue;cold hands;shortness of breath;weakness
Asthma,headache;rapid breathing;chest discomfort;fast heartbeat;tight throat;chest tightness;nasal congestion
Diabetes,numbness;headache;skin infections;sweet-smelling breath;dizziness;vision changes;frequent urination;dry mouth;mood changes;feelings of worthlessness
Gastritis,stomach burning;hoarseness;loss of taste;indigestion;upper stomach pain;cloudy urine;unintended weight loss
Migraine,aura;vomiting;pulsating pain;coughing blood;throbbing headache;prolonged high fever;fatigue;nausea;frequent urination;irritability;dizziness
Hypertension,isolation;swelling in feet;nosebleed;bitter mouth;headache;nausea;shortness of breath;hunger;fatigue;confusion;irregular heartbeat
Dengue,vision changes;dizziness;chills;dry mouth;bleeding gums;muscle pain;fatigue;nausea;eye pain;swollen glands
Hypertension,chest pain;vision changes;shortness of breath;palpitations;dizziness;mucus production;high blood pressure
